100 2 0 190 1 16 5 80 25 3 1 0.75 44.331
150 5 2 149 5 18 9 169 25 1 1.0555 0.8435 48.378
120 1 2 220 1 12 11 45 25 2 1 1 21.871
140 3 1 170 2 20 9 95 100 3 1.3 0.75 36.472
100 2 0 45 0 13 15 40 25 1 1 0.88 35.252
100 5 2 0 2.7 16 4 110 0 1 1 0.67 50.828
120 1 1 220 1 15 11 47 25 3 0.862 1.0347 24.442
110 1 1 135 0 13 12 25 25 2 1 0.75 28.026
90 3 0 0 4 17 0 140 0 1 1 0.67 74.473
70 4 1 260 9 4 5 320 25 3 1 0.33 59.426
140 3 1 190 4 14 14 230 100 3 1.5 1 28.593
100 3 1 200 3 18 3 110 25 1 1 1 51.592
120 3 5 15 2 11 8 135 0 3 1 1 33.984
149 6 6 93 6 15 9 171 25 3 1.0675 0.9389 54.906
97 3 0 1 2 17 8 96 25 1 1.0483 1.2425 59.431
90 3 0 170 3 18 2 90 25 3 1 1 59.643
130 3 2 210 2 18 8 100 25 3 1.33 0.75 37.039
110 2 1 250 0 21 3 60 25 3 1 0.75 39.106
100 3 0 320 1 19 3 45 100 3 1 1 41.504
110 2 1 170 1 16 6 60 100 3 1 1 36.524
111 3 1 281 0 13 9 48 25 3 1.1813 0.716 45.484
100 3 1 200 3 17 3 110 100 3 1 1 46.659
110 3 3 140 4 9 7 160 25 3 1 0.5 40.449
110 1 0 180 0 13 11 35 25 1 1 1.33 28.742
90 2 0 0 2 14 6 110 25 3 1 0.5 55.333
100 4 1 135 2 17 6 110 25 3 1 0.5 49.512
119 4 1 162 7 13 7 202 25 2 0.8846 1.1228 55.521
100 2 1 140 2 12 10 120 25 3 1 0.75 36.176
70 4 1 130 10 10 6 280 25 3 1 0.33 68.403
112 4 0 260 1 21 11 42 25 2 1.1767 1.7784 68.224
110 2 2 200 1 16 8 252 25 3 1 0.75 34.385
160 3 2 150 3 18 13 160 25 3 1.5 0.67 30.313
110 2 1 200 1 16 8 60 25 1 1 0.75 36.188
110 1 1 180 0 14 13 55 25 2 1 1 22.736
110 1 0 90 1 14 12 20 25 2 1 1 35.783
100 4 1 221 2 13 6 90 25 2 1.1426 0.9489 48.606
111 2 2 182 1 14 14 33 50 3 0.8446 1.1856 31.023
110 2 1 180 0 12 12 55 25 2 1 1 26.735
110 3 1 250 1.5 10 10 90 25 1 1 0.75 31.072
141 2 0 220 3 23 3 128 25 1 1.2518 1.1092 51.43
100 3 2 140 2.5 9 8 140 25 3 1 0.5 39.703
117 2 1 189 1 16 11 41 25 2 1.1751 1.2609 43.671
110 2 0 125 1 13 14 30 25 2 1 1 33.174
50 2 0 0 1 14 0 50 0 3 0.5 1 63.006
90 3 0 210 5 13 5 190 25 3 1 0.67 53.314
90 3 0 0 3 21 0 120 0 1 1 0.67 72.802
50 4 0 140 14 10 0 330 25 3 1 0.5 93.705
110 2 0 220 1 18 3 30 25 3 1 1 46.896
90 2 0 15 3 13 5 90 25 2 1 1 59.364
138 4 2 171 2 14 9 93 100 1 0.9518 0.764 13.834
99 4 3 154 1 15 6 96 25 1 1.0569 0.6408 36.177
120 3 0 240 5 13 12 190 25 3 1.33 0.67 41.015
110 3 2 140 2 13 7 105 25 3 1 0.5 40.4
100 3 1 230 3 16 3 115 25 1 1 0.67 49.787
100 3 4 48 1 9 18 44 25 1 1.336 0.576 21.239
100 2 3 139 2 11 6 86 25 1 1.0264 1.1637 33.51
119 2 4 72 7 12 6 103 50 1 1.0216 0.0079 33.73
120 2 1 190 0 14 9 40 25 2 1 0.67 29.924
110 6 2 290 2 17 1 105 25 1 1 1.25 50.765
100 3 0 0 3 11 7 100 25 2 1 0.8 58.345
100 4 1 0 0 16 3 95 25 2 1 1 54.851
150 4 3 150 3 14 11 170 25 3 1 1 34.14
120 3 3 75 3 12 4 100 25 3 1 0.33 45.812
150 4 3 95 3 15 11 170 25 3 1 1 37.137
161 4 5 150 3 17 15 158 25 3 1.0318 1.414 43.795
110 1 1 140 0 14 12 25 25 2 1 1 27.753
110 6 0 230 1 15 3 55 25 1 1 1 53.131
120 1 3 210 0 17 9 45 25 2 1 0.75 19.824
110 3 0 170 3 16 3 90 25 3 1 0.25 53.371
122 2 1 242 10 13 14 191 25 1 0.8279 0.7809 38.868
110 2 1 200 0 22 3 35 100 3 1 1 38.84
115 1 1 133 1 17 16 24 25 1 1.1073 0.9882 31.044
120 3 2 160 5 13 10 200 25 3 1.25 0.67 40.917
110 2 0 280 0 23 3 25 25 1 1 1 41.445
110 1 0 240 0 26 2 30 25 1 1 1.13 41.999
130 3 2 170 1.5 14 10 120 25 3 1.25 0.5 30.451
90 2 1 200 4 16 6 125 25 1 1 0.67 49.12
120 1 2 220 0 13 12 35 25 2 1 0.75 18.043
110 1 1 180 0 14 13 65 25 2 1 1 22.397
120 3 1 210 5 11 12 240 25 2 1.33 0.75 39.259
110 1 0 200 1 14 11 25 25 1 1 0.75 31.436
140 3 2 220 3 23 7 130 25 3 1.33 0.67 40.692
110 2 1 125 1 8 13 30 25 2 1 1 32.208
110 1 1 280 0 13 9 45 25 2 1 0.75 23.804
110 4 1 250 0 14 9 93 25 1 1.1407 1.0708 35.114
112 4 0 180 1 13 12 53 25 1 1.2319 1.0203 41.685
100 2 0 290 1 21 2 35 25 1 1 1 45.863
110 2 1 260 0 20 3 40 25 2 1 1.5 39.241
120 3 1 200 6 10 14 260 25 3 1.33 0.67 37.841
109 2 2 172 3 14 2 88 25 1 0.7192 0.0436 17.605
110 2 0 290 0 20 3 35 25 1 1 1 40.56
100 3 0 80 1 22 0 6 0 2 1 1 64.534
110 2 1 70 1 9 15 40 25 2 1 0.75 31.23
50 1 0 0 0 12 0 15 0 3 0.5 1 60.756
100 3 1 140 3 15 5 85 25 3 1 0.88 52.077
100 4 2 150 2 14 6 95 25 2 1 0.67 45.328
80 2 0 0 3 14 0 95 0 1 0.83 1 68.236
100 2 1 220 2 16 6 90 25 1 1 1 40.106
110 2 2 180 1.5 9 10 70 25 1 1 0.75 29.51
110 4 1 169 1 18 6 59 100 2 1.1197 1.2289 44.664
